BW25113_RS02575,WITHOUT NAME
BW25113_RS24960,WITHOUT NAME
BW25113_RS25970,WITHOUT NAME
BW25113_RS02585,ylbG
BW25113_RS02590,mnmH
BW25113_RS02595,allS
BW25113_RS02600,allA
BW25113_RS02605,allR
BW25113_RS02610,gcl
BW25113_RS02615,hyi
BW25113_RS02620,glxR
BW25113_RS02625,ybbW
BW25113_RS02630,allB
BW25113_RS02635,ybbY
BW25113_RS02640,glxK
BW25113_RS02645,allE
BW25113_RS02650,allC
BW25113_RS02655,allD
BW25113_RS02660,fdrA
BW25113_RS02665,ylbE
BW25113_RS02670,ylbF
BW25113_RS02675,ybcF
BW25113_RS02680,purK
BW25113_RS02685,purE
BW25113_RS02690,lpxH
BW25113_RS02695,ppiB
BW25113_RS02700,cysS
BW25113_RS02705,ybcI
BW25113_RS02710,ybcJ
BW25113_RS02715,folD
BW25113_RS02720,fimA
BW25113_RS02725,fimC
BW25113_RS02730,sfmD
BW25113_RS02735,fimH
BW25113_RS02740,sfmF
BW25113_RS02745,fimZ
BW25113_RS02750,WITHOUT NAME
BW25113_RS02755,intD
BW25113_RS02760,WITHOUT NAME
BW25113_RS02765,WITHOUT NAME
BW25113_RS02770,WITHOUT NAME
BW25113_RS02780,WITHOUT NAME
BW25113_RS02785,WITHOUT NAME
BW25113_RS02790,emrE
BW25113_RS25485,ylcJ
BW25113_RS02800,ybcK
BW25113_RS02805,ybcL
BW25113_RS02810,ybcM
BW25113_RS24970,WITHOUT NAME
BW25113_RS02815,ybcN
BW25113_RS02820,ninE
BW25113_RS02825,ybcO
BW25113_RS02830,rusA
BW25113_RS02835,ylcG
BW25113_RS02840,quuD
BW25113_RS02850,WITHOUT NAME
BW25113_RS02855,WITHOUT NAME
BW25113_RS02860,essD
BW25113_RS02865,rrrD
BW25113_RS25490,rzoD
BW25113_RS02875,bor
BW25113_RS02880,ybcV
BW25113_RS02885,ybcW
BW25113_RS02890,ylcI
BW25113_RS02900,nohD
BW25113_RS25975,WITHOUT NAME
BW25113_RS25980,WITHOUT NAME
BW25113_RS26455,WITHOUT NAME
BW25113_RS02910,WITHOUT NAME
BW25113_RS26085,WITHOUT NAME
BW25113_RS02920,appY
BW25113_RS02925,ompT
BW25113_RS02935,envY
BW25113_RS02940,ybcH
BW25113_RS02945,nfrA
BW25113_RS02950,nrfB
BW25113_RS02955,cusS
BW25113_RS02960,cusR
BW25113_RS02965,cusC
BW25113_RS02970,cusF
BW25113_RS02975,cusB
BW25113_RS02980,cusA
BW25113_RS02985,pheP
BW25113_RS02990,ybdG
BW25113_RS02995,nfsB
BW25113_RS03000,ybdF
BW25113_RS03005,ybdJ
BW25113_RS03010,ybdK
BW25113_RS26460,WITHOUT NAME
BW25113_RS03020,hokE
BW25113_RS03025,WITHOUT NAME
BW25113_RS03030,entD
BW25113_RS03035,fepA
BW25113_RS03040,fes
BW25113_RS03045,ybdZ
BW25113_RS03050,entF
BW25113_RS03055,wzz(fepE)
BW25113_RS03060,fepC
BW25113_RS03065,fepG
BW25113_RS03070,fepD
BW25113_RS03075,entS
BW25113_RS03080,fepB
BW25113_RS03085,entC
BW25113_RS03090,entE
BW25113_RS03095,entB
BW25113_RS03100,entA
BW25113_RS03105,entH
BW25113_RS03110,cstA
BW25113_RS03115,ybdD
BW25113_RS03120,hcxA
BW25113_RS03125,ybdL
BW25113_RS03130,ybdM
BW25113_RS03135,ybdN
BW25113_RS03140,ybdO
BW25113_RS03145,dsbG
BW25113_RS03150,ahpC
BW25113_RS03155,ahpF
